group,start,end,years,cagr,total_return,mdd_full,mdd_1y,mdd_3y,mdd_5y,return_1y,return_3y,return_5y,days_to_recover_initial
all_month_ends,2006-12-28,2026-06-17,19.468856947296374,0.11122322741295698,6.792901122148557,-0.10018090045772654,-0.03667574640683979,-0.10018090045772654,-0.10018090045772654,0.1628384428382872,0.40482738642892224,0.7068104525299816,15
all_month_ends,2007-01-31,2026-06-17,19.37577002053388,0.11210176222249113,6.835843981068958,-0.10018090045772665,-0.03667574640683968,-0.10018090045772665,-0.10018090045772665,0.15797580979965398,0.37848444835718853,0.7574741599165569,1
all_month_ends,2007-02-28,2026-06-17,19.299110198494184,0.11143172704257176,6.682401863597545,-0.10018090045772665,-0.03667574640683957,-0.10018090045772665,-0.10018090045772665,0.14129090238805797,0.3697856029177016,0.7527724685764778,21
strategy_ath_month_ends,2007-02-28,2026-06-17,19.299110198494184,0.11143172704257176,6.682401863597545,-0.10018090045772665,-0.03667574640683957,-0.10018090045772665,-0.10018090045772665,0.14129090238805797,0.3697856029177016,0.7527724685764778,21
all_month_ends,2007-03-30,2026-06-17,19.21697467488022,0.11192234946652779,6.680893134011759,-0.10018090045772654,-0.03667574640683968,-0.10018090045772654,-0.10018090045772654,0.16022121501443598,0.3900762956905319,0.7366729217196899,4
strategy_ath_month_ends,2007-03-30,2026-06-17,19.21697467488022,0.11192234946652779,6.680893134011759,-0.10018090045772654,-0.03667574640683968,-0.10018090045772654,-0.10018090045772654,0.16022121501443598,0.3900762956905319,0.7366729217196899,4
all_month_ends,2007-04-30,2026-06-17,19.132101300479125,0.11278792245557989,6.726215264104845,-0.10018090045772665,-0.03667574640683946,-0.10018090045772665,-0.10018090045772665,0.17941290066328386,0.42108636383349785,0.7552074197960799,2
all_month_ends,2007-05-31,2026-06-17,19.04722792607803,0.11116171806433384,6.446121302976192,-0.10018090045772676,-0.03667574640683946,-0.10018090045772676,-0.10018090045772676,0.1375791569750815,0.39303626671165515,0.7074567810114372,1
strategy_ath_month_ends,2007-05-31,2026-06-17,19.04722792607803,0.11116171806433384,6.446121302976192,-0.10018090045772676,-0.03667574640683946,-0.10018090045772676,-0.10018090045772676,0.1375791569750815,0.39303626671165515,0.7074567810114372,1
stock_basket_ath_month_ends,2007-05-31,2026-06-17,19.04722792607803,0.11116171806433384,6.446121302976192,-0.10018090045772676,-0.03667574640683946,-0.10018090045772676,-0.10018090045772676,0.1375791569750815,0.39303626671165515,0.7074567810114372,1
