peak,trough,recovery,days,max_drawdown,recovered
2017-11-01,2017-11-02,2017-11-07,6,-0.0022222406364580394,True
2017-11-09,2017-11-30,2018-01-29,81,-0.021280261028913894,True
2018-01-29,2018-04-04,2018-07-10,162,-0.03624804691274719,True
2018-07-13,2018-07-17,2018-07-18,5,-0.003878215757100345,True
2018-07-19,2018-07-31,2018-08-10,22,-0.01333736653682338,True
2018-08-10,2018-08-17,2018-08-20,10,-0.0008796661886758539,True
2018-08-20,2018-08-21,2018-08-23,3,-0.001102113172458008,True
2018-08-23,2018-08-24,2018-08-29,6,-0.0011542632502853367,True
2018-09-04,2018-09-07,2018-09-10,6,-0.003502253079284867,True
2018-09-10,2018-12-26,2019-03-20,191,-0.02690888933308533,True
2019-03-25,2019-03-26,2019-03-27,2,-0.0019453131565700943,True
2019-03-27,2019-04-01,2019-04-08,12,-0.005390004280230287,True
2019-04-09,2019-04-17,2019-04-24,15,-0.011319061887451798,True
2019-04-26,2019-04-29,2019-04-30,4,-0.00016331451430029453,True
2019-04-30,2019-05-02,2019-05-07,7,-0.00363775377993536,True
2019-05-07,2019-05-08,2019-05-13,6,-0.0053690485304073166,True
2019-05-13,2019-05-14,2019-05-15,2,-0.004217653070993643,True
2019-05-17,2019-05-27,2019-05-31,14,-0.007749313222887411,True
2019-05-31,2019-06-04,2019-06-07,7,-0.007520226164269395,True
2019-06-10,2019-06-11,2019-06-12,2,-0.002618572638943051,True
2019-06-12,2019-06-13,2019-06-14,2,-1.0478096451049801e-05,True
2019-06-17,2019-06-18,2019-06-19,2,-0.001823806620699031,True
2019-06-20,2019-06-21,2019-06-24,4,-0.0016835582646257397,True
2019-06-25,2019-06-26,2019-07-02,7,-0.007176808108896204,True
2019-07-04,2019-07-09,2019-07-15,11,-0.003947424935644039,True
2019-07-15,2019-07-16,2019-07-17,2,-0.001710040058291007,True
2019-07-18,2019-07-22,2019-07-25,7,-0.0024449782597474323,True
2019-07-30,2019-07-31,2019-08-01,2,-0.0015027745363860312,True
2019-08-05,2019-08-06,2019-08-07,2,-0.0021067434419421716,True
2019-08-12,2019-08-13,2019-08-14,2,-0.0014699322775677537,True
2019-08-14,2019-08-21,2019-08-28,14,-0.01152907714864082,True
2019-08-28,2019-08-29,2019-09-04,7,-0.004929196614386844,True
2019-09-04,2019-11-08,2020-01-10,128,-0.045921070790588825,True
2020-01-10,2020-01-13,2020-01-14,4,-0.0020253112198449497,True
2020-01-16,2020-01-17,2020-01-20,4,-0.00015421307605245627,True
2020-01-22,2020-01-28,2020-01-29,7,-0.0040132044865002214,True
2020-01-29,2020-01-30,2020-01-31,2,-0.003521356427786393,True
2020-02-03,2020-02-04,2020-02-06,3,-0.005372880631003052,True
2020-02-11,2020-02-12,2020-02-13,2,-0.0023088686658048196,True
2020-02-21,2020-03-18,2020-04-23,62,-0.0852115669706015,True
2020-04-23,2020-05-06,2020-05-14,21,-0.013502644384217333,True
2020-05-15,2020-05-18,2020-05-19,4,-0.002388229040269363,True
2020-05-25,2020-06-05,2020-06-23,29,-0.022847113410759956,True
2020-06-24,2020-06-29,2020-07-02,8,-0.009723904139453676,True
2020-07-07,2020-07-08,2020-07-09,2,-0.0006735241944403336,True
2020-07-13,2020-07-16,2020-07-21,8,-0.004408241759013665,True
2020-07-21,2020-07-22,2020-07-23,2,-0.0007258141839002752,True
2020-07-23,2020-07-24,2020-07-28,5,-0.0043910526852561915,True
2020-07-28,2020-07-29,2020-07-30,2,-0.0020985635461024943,True
2020-08-07,2020-08-20,2020-09-02,26,-0.020524821226394208,True
2020-09-03,2020-10-30,2021-01-04,123,-0.0624828132294839,True
2021-01-05,2021-01-06,2021-01-08,3,-0.00535410013812232,True
2021-01-11,2021-01-18,2021-01-21,10,-0.013203378057178972,True
2021-01-21,2021-01-22,2021-01-25,4,-0.0004795797893771825,True
2021-01-25,2021-03-09,2021-04-13,78,-0.027283830397760278,True
2021-04-14,2021-04-15,2021-04-16,2,-0.001188576104818262,True
2021-04-19,2021-05-13,2021-06-08,50,-0.017309431093095795,True
2021-06-08,2021-06-09,2021-06-11,3,-0.0024501261082783277,True
2021-06-15,2021-06-17,2021-06-18,3,-0.0037184247580777097,True
2021-06-18,2021-06-21,2021-06-23,5,-0.0023671502333436623,True
2021-06-28,2021-06-29,2021-06-30,2,-0.00018220961980996986,True
2021-06-30,2021-07-01,2021-07-02,2,-3.5871975872736606e-05,True
2021-07-08,2021-07-09,2021-07-13,5,-0.003999637235009179,True
2021-07-15,2021-07-21,2021-07-23,8,-0.004940074103532588,True
2021-07-23,2021-07-26,2021-07-27,4,-0.0004940652399006984,True
2021-07-27,2021-07-30,2021-08-04,8,-0.004712166906622461,True
2021-08-04,2021-08-09,2021-08-27,23,-0.00987441290449842,True
2021-08-31,2021-10-05,2021-11-05,66,-0.025149697960453188,True
2021-11-05,2021-11-08,2021-11-09,4,-0.0014886002196833337,True
2021-11-09,2022-12-29,2023-05-30,567,-0.05885354684400523,True
2023-05-31,2023-06-08,2023-06-29,29,-0.008617298578581623,True
2023-07-03,2023-07-10,2023-07-19,16,-0.01568715827805578,True
2023-07-19,2023-07-28,2023-08-01,13,-0.007820723475975622,True
2023-08-01,2023-10-04,2023-12-12,133,-0.029258995747079797,True
2023-12-14,2023-12-15,2023-12-18,4,-0.001176333519830819,True
2023-12-20,2023-12-21,2023-12-26,6,-0.0023433843467322024,True
2023-12-28,2024-01-18,2024-02-02,36,-0.01943826531124815,True
2024-02-02,2024-02-05,2024-02-08,6,-0.004070804805222816,True
2024-02-13,2024-02-14,2024-02-15,2,-0.004190771739522092,True
2024-02-19,2024-02-21,2024-02-23,4,-0.00747366290094742,True
2024-02-23,2024-02-27,2024-02-28,5,-0.0011552850911635826,True
2024-02-28,2024-02-29,2024-03-04,5,-0.0019373539998503997,True
2024-03-05,2024-03-06,2024-03-07,2,-0.00013565624736799897,True
2024-03-08,2024-03-18,2024-03-21,13,-0.006514498538226943,True
2024-04-02,2024-04-05,2024-04-12,10,-0.011226524170909191,True
2024-04-12,2024-04-25,2024-05-20,38,-0.034742101255408886,True
2024-05-22,2024-05-30,2024-06-07,16,-0.009236611403006911,True
2024-06-07,2024-06-10,2024-06-13,6,-0.007869476822502719,True
2024-06-20,2024-07-01,2024-07-04,14,-0.011867585552593707,True
2024-07-09,2024-07-10,2024-07-11,2,-0.00030765102136953715,True
2024-07-11,2024-07-12,2024-07-15,4,-0.0026220685391915577,True
2024-07-16,2024-09-09,2024-10-21,97,-0.04440680900363303,True
2024-10-21,2024-10-22,2024-10-23,2,-0.0005872600141383355,True
2024-10-23,2024-10-24,2024-10-25,2,-0.005028831287992697,True
2024-10-25,2024-10-29,2024-10-30,5,-0.0008423543666463695,True
2024-10-30,2024-11-04,2024-11-12,13,-0.020530439160467262,True
2024-11-12,2024-11-15,2024-11-21,9,-0.017121253995623142,True
2024-11-25,2024-11-27,2024-11-29,4,-0.005885041003494962,True
2024-12-09,2024-12-20,2025-01-31,53,-0.02761929688943021,True
2025-02-06,2025-02-07,2025-02-10,4,-0.0015836891186817859,True
2025-02-11,2025-02-12,2025-02-14,3,-0.004786122231980494,True
2025-02-14,2025-04-09,2025-06-24,130,-0.07780650197416883,True
2025-06-25,2025-06-30,2025-07-03,8,-0.008594938933596863,True
2025-07-03,2025-07-07,2025-07-10,7,-0.005061810679380385,True
2025-07-15,2025-07-16,2025-07-17,2,-0.0029217080941388307,True
2025-07-21,2025-07-24,2025-07-31,10,-0.008707917148836564,True
2025-07-31,2025-08-04,2025-08-07,7,-0.010970114085297689,True
2025-08-08,2025-08-22,2025-09-05,28,-0.017744911284479303,True
2025-09-23,2025-09-26,2025-09-29,6,-0.007460229306535782,True
2025-09-30,2025-10-01,2025-10-02,2,-0.0008402494748256384,True
2025-10-15,2025-10-23,2025-11-03,19,-0.023262380127823667,True
2025-11-03,2025-11-05,2025-11-11,8,-0.013119306870280179,True
2025-11-13,2025-11-21,2025-12-23,40,-0.051638764489621236,True
2025-12-23,2025-12-30,2026-01-05,13,-0.013827590960907465,True
2026-01-07,2026-01-08,2026-01-09,2,-0.0017134343926471507,True
2026-01-23,2026-01-26,2026-01-27,4,-0.005983621598118383,True
2026-01-29,2026-02-02,2026-02-24,26,-0.05422424112554658,True
2026-02-26,2026-03-31,2026-04-16,49,-0.05792111794438348,True
2026-04-16,2026-04-17,2026-04-21,5,-0.0016187722568539176,True
2026-04-27,2026-04-29,2026-05-04,7,-0.005609573357711062,True
2026-05-07,2026-05-08,2026-05-11,4,-0.00022254953278422196,True
2026-05-14,2026-05-20,2026-05-26,12,-0.039113564276259116,True
2026-05-27,2026-05-28,2026-05-29,2,-0.0068627528603553145,True
2026-06-02,2026-06-11,2026-06-17,15,-0.055590970159773434,False
