date,baseline:HaenamP baseline,cap:cap 15%,cap:cap 20%,cap:cap 25%,lookback:6M momentum,lookback:9M momentum,lookback:12M momentum,rebalance_timing:month_start,rebalance_timing:month_mid,rebalance_timing:month_end
2016-05-19,316.0714382315813,276.93780663739346,316.0714382315813,358.82915684655177,303.99664339253,312.23932502031334,316.0714382315813,303.23967554086084,314.3864522966156,316.0714382315813
2016-05-20,315.9805129975109,276.88061119830513,315.9805129975109,358.69690052670376,303.93214630898046,312.15697010300147,315.9805129975109,303.1611807546789,314.27230238953155,315.9805129975109
2016-05-23,315.7442795952036,276.7330746213138,315.7442795952036,358.35191102058565,303.75145667323875,311.9642689332363,315.7442795952036,302.96398430207796,314.026832935671,315.7442795952036
2016-05-24,314.91499964503635,276.18995533459037,314.91499964503635,357.1734095713193,302.93315184814276,311.05061591342076,314.91499964503635,302.20128453894597,313.2515033590229,314.91499964503635
2016-05-25,314.5832983415837,275.97430142735277,314.5832983415837,356.6999742192893,302.61891422456654,310.8016614,314.5832983415837,301.89494997864784,313.0580064141558,314.5832983415837
2016-05-26,314.5328608738097,275.9437523095593,314.5328608738097,356.6250880571691,302.4763178490481,310.6916729928064,314.5328608738097,301.833895369899,313.0923841952282,314.5328608738097
2016-05-27,314.5755350214419,275.9744816885617,314.5755350214419,356.68214041512823,302.5115297695836,310.77437728663995,314.5755350214419,301.87756709914777,313.1502229522189,314.5755350214419
2016-05-30,316.10253716663226,276.9873636357091,316.10253716663226,358.8356433098187,303.39983013084645,311.9957082059791,316.10253716663226,303.13193221334103,315.12151066473643,316.10253716663226
2016-05-31,315.82597018892534,276.80799520882636,315.82597018892534,358.4403322102139,303.282627306138,311.85046953132047,315.82597018892534,302.9154963541183,314.7705476525223,315.82597018892534
2016-06-01,316.76178648895376,277.4258021820531,316.76178648895376,359.7377587715009,304.05270509089314,312.73255222857796,316.76178648895376,303.6948094886394,315.6843759603774,316.76178648895376
2016-06-02,316.150506081307,277.0266360381551,316.150506081307,358.8851693497736,303.571614026837,312.1717028007093,316.150506081307,303.1033332052257,315.30178557029524,316.150506081307
2016-06-03,317.05592849704016,277.6244640074258,317.05592849704016,360.1403569873441,304.29417587805654,313.0209487459167,317.05592849704016,304.0166958818576,316.16249032515924,317.05592849704016
2016-06-07,315.1043254633238,276.35221186157196,315.1043254633238,357.41584540334713,302.75144807181175,311.253450569997,315.1043254633238,302.24818549973656,314.5662885451775,315.1043254633238
2016-06-08,315.8889061888574,276.8706058987631,315.8889061888574,358.50309753574976,303.4389258940675,312.04171778319824,315.8889061888574,303.096700637821,315.5508258104206,315.8889061888574
2016-06-09,317.3908840920495,277.86057606368354,317.3908840920495,360.58732362736976,304.6538174376794,313.44514781862387,317.3908840920495,304.59305588603013,317.1081215393857,317.3908840920495
2016-06-10,319.1558672419437,279.0231127757901,319.1558672419437,363.0374206531587,306.07754080658106,315.0796459890412,319.1558672419437,306.2679026828472,318.81712936877835,319.1558672419437
2016-06-13,319.3156450073098,279.1351541327214,319.3156450073098,363.2513114099745,305.9602500503475,315.0713309373966,319.3156450073098,306.36944928357906,319.221621103536,319.3156450073098
2016-06-14,319.47773723442583,279.24404200381804,319.47773723442583,363.47385442184094,306.0393918734174,315.19346045059046,319.47773723442583,306.4975128079376,319.5823094940054,319.47773723442583
2016-06-15,319.4979496972502,279.25966628139196,319.4979496972502,363.49922560561873,306.0392092555565,315.2052034093629,319.4979496972502,306.547931995407,319.5487803229553,319.4979496972502
2016-06-16,319.6816582418234,279.3827636457065,319.6816582418234,363.7518088478433,306.0997353157959,315.32049009265614,319.6816582418234,306.7779643185021,320.0364188023883,319.6816582418234
2016-06-17,320.0363813778261,279.61827633660846,320.0363813778261,364.2420526970804,306.39423900012247,315.6603505559244,320.0363813778261,307.09250218662083,320.1452304902807,320.0363813778261
2016-06-20,317.34229330684593,277.8543505692955,317.34229330684593,360.48989545248963,304.2989812050506,313.2162767090592,317.34229330684593,304.5031263110975,317.6253937746441,317.34229330684593
2016-06-21,315.1935976246267,276.4442586946785,315.1935976246267,357.501112608527,302.54347937146224,311.20002870688944,315.1935976246267,302.49085859999485,315.5919671702792,315.1935976246267
2016-06-22,315.0740014921167,276.3679813208375,315.0740014921167,357.3321897378081,302.5158377090172,311.13193306594366,315.0740014921167,302.36647501198127,315.4746161396546,315.0740014921167
2016-06-23,313.25887862596164,275.17716136575467,313.25887862596164,354.80697620979754,301.01001934929195,309.4227479974669,313.25887862596164,300.6385205256578,313.6669485559031,313.25887862596164
2016-06-24,319.1715215734276,279.066134391945,319.1715215734276,363.0211165132315,305.3722564947323,314.696719858492,319.1715215734276,306.36344778223076,320.2746274311175,319.1715215734276
2016-06-27,322.5987915685808,281.32592978650115,322.5987915685808,367.7760010409911,308.28343665511125,317.9601195150594,322.5987915685808,309.7017109674648,323.62705797933074,322.5987915685808
2016-06-28,320.44948745390354,279.9154010168771,320.44948745390354,364.78641561232735,306.5473895823585,315.95878317244336,320.44948745390354,307.6637231072625,321.67365767498586,320.44948745390354
2016-06-29,319.9687946861828,279.60172234238524,319.9687946861828,364.1157160764959,306.2236142093646,315.5715385739747,319.9687946861828,307.33388987229097,321.19220512743215,319.9687946861828
2016-06-30,321.0259192182367,280.29891720931715,321.0259192182367,365.58213662981666,307.18575556042293,316.62213835177295,321.0259192182367,308.36175211478496,322.121985251085,321.0259192182367
2016-07-01,323.02654070316333,281.61135455164924,323.02654070316333,368.42696789975804,308.9893970185241,318.55727227319323,323.02654070316333,310.5025192650642,324.188251106264,323.02654070316333
2016-07-04,323.805399319221,282.12837573556095,323.805399319221,369.5265566314715,309.6555632088199,319.2982651898341,323.805399319221,311.4161317092113,325.0598692240226,323.805399319221
2016-07-05,325.47551090299896,283.2243786030441,325.47551090299896,371.9009094593212,311.09163931801913,320.88979625709504,325.47551090299896,313.17021192081774,326.7541377616551,325.47551090299896
2016-07-06,325.92288875724836,283.5196729759946,325.92288875724836,372.53471110219857,311.4372626276878,321.3027036054879,325.92288875724836,313.37491162496895,327.3427911199132,325.92288875724836
2016-07-07,325.73292903645364,283.39760619122814,325.73292903645364,372.26126801652464,311.2929853393241,321.12823124384477,325.73292903645364,313.36511006505697,327.19800235098603,325.73292903645364
2016-07-08,325.6843304290775,283.36809099640783,325.6843304290775,372.18907592073725,311.2182322488186,321.07059347842005,325.6843304290775,313.28126786752784,327.2191450860674,325.6843304290775
2016-07-11,325.46810570718213,283.2334254235838,325.46810570718213,371.8722440968312,311.05391477485597,320.8719660498996,325.46810570718213,313.30976072382435,327.0825959088237,325.46810570718213
