Date,core__ma5,core__ma4,core__ma5_52w_high,core__ma4_52w_high,core__ma5_52w_near5,core__ma4_52w_near5,core__ma5_stack_hard,core__ma4_stack_hard,core__ma5_stack_half,core__ma4_stack_half,korea__ma5,korea__ma4,korea__ma5_52w_high,korea__ma4_52w_high,korea__ma5_52w_near5,korea__ma4_52w_near5,korea__ma5_stack_hard,korea__ma4_stack_hard,korea__ma5_stack_half,korea__ma4_stack_half,extended__ma5,extended__ma4,extended__ma5_52w_high,extended__ma4_52w_high,extended__ma5_52w_near5,extended__ma4_52w_near5,extended__ma5_stack_hard,extended__ma4_stack_hard,extended__ma5_stack_half,extended__ma4_stack_half,all__ma5,all__ma4,all__ma5_52w_high,all__ma4_52w_high,all__ma5_52w_near5,all__ma4_52w_near5,all__ma5_stack_hard,all__ma4_stack_hard,all__ma5_stack_half,all__ma4_stack_half
2026-03-23,266.5936637742713,268.4210846914579,131.7939924728849,131.7939924728849,202.58182004936268,211.49525156236888,175.8387282319271,186.64471426321785,217.21210756243315,224.3116553594208,174.17518373746694,182.36930255297767,115.39400545170126,115.39400545170126,135.76613919969802,139.6686472853814,139.72186404312546,156.90376932033539,156.132865044914,169.2124779923247,188.55056087653801,194.4554858978262,104.04849344736427,104.04849344736427,154.45110737063263,161.08405135558064,127.98758918278668,153.98053866172145,156.0174038548249,173.5599935579613,130.92624312377617,134.12212638236255,104.68693163940002,104.68693163940002,118.40842586161268,120.60464218018431,112.68137160866631,119.57394100635852,121.50260275967442,126.66113040228907
2026-03-24,266.15734497491405,268.04028430504485,131.62029010944212,131.62029010944212,202.2691675911427,211.19521003019176,175.69155174652082,186.47492723579546,216.9434552258138,224.05051753113398,176.873380591764,185.1720235574241,115.63681348105774,115.63681348105774,137.76762167611122,141.71476257630408,141.88767503101553,159.43845319666923,158.55231207248588,171.87950069206389,189.06944514789333,194.997328190808,104.16498145165862,104.16498145165862,154.83998681993074,161.4928310739894,128.0788097370985,154.09028516276615,156.2876800769827,173.86365316509224,131.51408469162754,134.73090186067677,104.75689293394139,104.75689293394139,118.90897791118964,121.11725420894601,113.10047319405261,120.03442583690173,122.00132351293924,127.19247450998921
2026-03-25,268.1042839562625,269.98218004943215,131.7872082056596,131.7872082056596,203.71090183133612,212.725275112222,176.7314148627634,187.6503961911066,218.37893518795312,225.56828286567753,178.79947041305334,187.16293920230922,116.04788661185148,116.04788661185148,138.77411151306057,142.75898628489077,142.8295939535986,161.02145785758387,159.9418753558924,173.6567634280073,190.10846672796876,196.06387417525656,104.35144510851941,104.35144510851941,155.3913465925234,162.07301689210507,128.73118410328786,154.87514998408466,157.11514426906555,174.78192101834443,132.46857380107284,135.7000712016352,104.97215243777833,104.97215243777833,119.55431690934644,121.78218187387193,113.74323468504292,120.82133280088256,122.7907206725029,128.06686223940716
2026-03-26,265.04606992123945,267.0431195172685,131.56721658537978,131.56721658537978,201.50710915699386,210.4095205681202,175.18911034904136,185.83237179518542,216.18055430539837,223.2478070349891,175.0206368332048,183.23338907775272,115.84581342182983,115.84581342182983,136.09195662830794,140.00135681708684,140.01883264372307,157.57248320755352,156.677973275561,169.9739644340121,188.6030385056054,194.48689442782273,104.2406201810842,104.2406201810842,154.7615427006219,161.38812486019438,127.65469795576243,153.5800406854704,155.83614330569006,173.34823094061394,130.88350727762682,134.09220196916976,104.82629683576982,104.82629683576982,118.41936530621872,120.61380185493927,112.48115816909852,119.3994015439638,121.3748551130225,126.55454792262262
2026-03-27,265.05851770019757,267.1831026651836,131.44121071311207,131.44121071311207,201.6363421135837,210.51981656486282,175.59481202670457,186.08994526613816,216.43594540442197,223.46103654671197,174.958668247738,183.16021887354955,115.89273851274227,115.89273851274227,135.997001724289,139.9114720499427,139.94715584143353,157.5801606008367,156.61013384805963,169.9441675759008,188.75741248851156,194.6677515657373,104.19096987265762,104.19096987265762,154.67844815006777,161.29356811842362,127.42220660032027,153.30033275149214,155.7580118046278,173.27097548926875,130.92676487734204,134.1602627744321,104.78377024411299,104.78377024411299,118.39029309235625,120.57892555008878,112.44041420152504,119.34073915582526,121.37292982384153,126.55557649263665
2026-03-30,265.357000597791,267.4304137110057,131.72076592064056,131.72076592064056,201.845519150322,210.71467872299183,175.6464946586119,186.08539812341007,216.5896615473071,223.56172682037734,172.2188092771292,180.2498044222679,115.53623497961296,115.53623497961296,133.68958097869566,137.53357737395189,137.47900255996748,155.05045208761075,154.0028602394326,167.22986495701534,189.07419870427825,194.96646636483996,104.26356990820697,104.26356990820697,154.9567492681429,161.56751480579425,127.39526531740653,153.26791997395813,155.87224772682742,173.3855987528028,130.59840229162805,133.7996891427528,104.80666037394633,104.80666037394633,118.06145836907076,120.23350208163181,111.97686844159963,118.88205988689164,120.97054354558222,126.14230444133361
2026-03-31,269.0094990736544,271.0770669160987,131.91048196519003,131.91048196519003,204.5460399066733,213.58796208617616,177.64327586996876,188.5076783268389,219.3113977769622,226.5410144545898,168.167870498396,176.00635668462408,114.89603693725294,114.89603693725294,130.325293501312,134.07716668441824,133.77050464511092,151.08390307647235,150.11451444967665,163.1223357683493,191.68451882671025,197.67112924266291,104.57013528612748,104.57013528612748,156.40411597017845,163.1073678344847,129.00184549001554,155.20077988608818,157.9310696093467,175.6815222801914,131.26620030061446,134.4827889941147,104.86422749434088,104.86422749434088,118.34988565159605,120.54795936275183,112.31930618922486,119.33882150320927,121.46479785033289,126.70663564121718
2026-04-01,269.5065880632586,271.439482410924,131.91048196519003,131.91048196519003,204.3771390603908,213.41742897317647,177.50521091735075,188.36116952402116,219.4288001945355,226.60441682573148,171.18853194626752,180.02176917734926,114.79903503911635,114.79903503911635,130.01505382002952,133.7579956598081,135.94869504382322,154.70471938724154,152.68486664138052,166.93773614465115,191.48854657979146,197.41782935717615,104.53003670455927,104.53003670455927,155.918922914212,162.59883021635687,128.5701971821068,154.7080414338774,157.58611406258493,175.2900804871816,131.81668263929086,135.16231400675113,104.8240004461497,104.8240004461497,118.07779228285543,120.27081101071599,112.53672666590366,119.79302451700636,121.8370491398187,127.26787461421654
2026-04-02,269.6815942870008,271.5667483858461,131.91048196519003,131.91048196519003,204.80811363334968,213.83943690766992,177.84045707656654,188.7169188471085,219.70725678796268,226.87152804057797,169.02482013709218,177.26191079845245,114.86592924713615,114.86592924713615,130.065458110075,133.80985101510007,134.77376812193518,152.36910642458307,151.0601638429475,164.39795177417486,192.27250380574458,198.29204101656856,104.5410571689573,104.5410571689573,156.84604229362128,163.550948210656,129.2951711118775,155.60796034995624,158.35298769261604,176.1880140674961,131.71666484288127,134.9904132749414,104.8436027121574,104.8436027121574,118.50081530447764,120.69196456826626,112.67976115437949,119.77588056915987,121.86825394849237,127.17783751200444
2026-04-03,,,,,,,,,,,170.3258520347403,178.88391623451014,114.84412732638259,114.84412732638259,130.05983343039617,133.8040644091805,135.61197232662218,153.71622686050767,152.1112877065193,165.87683446277637,,,,,,,,,,,,,,,,,,,,
